,Hora_Salida,Destino,Origen,Hora_Llegada,Desde
0,01:15,YUL,MEX,07:25,4391
1,06:01,DEN,MEX,15:12,6428
2,06:01,JFK,MEX,14:30,16202
3,06:01,LAS,MEX,14:14,10798
4,06:01,LAX,MEX,10:15,6400
5,06:01,MCO,MEX,15:26,19417
6,06:01,MIA,MEX,16:01,28647
7,06:01,ORD,MEX,15:45,9471
8,06:01,SFO,MEX,10:50,9361
9,06:30,CUN,MEX,10:05,7991
10,06:30,DEN,MEX,15:12,6428
11,06:30,JFK,MEX,14:30,16202
12,06:30,LAS,MEX,12:25,9259
13,06:30,LAX,MEX,11:10,6400
14,06:30,ORD,MEX,16:18,17639
15,06:30,SFO,MEX,16:05,9471
16,07:00,DEN,MEX,14:27,6428
17,07:00,JFK,MEX,14:30,18652
18,07:00,LAS,MEX,12:25,10688
19,07:00,LAX,MEX,11:10,6400
20,07:00,MCO,MEX,15:26,12595
21,07:00,MIA,MEX,16:01,25584
22,07:00,ORD,MEX,14:25,9471
23,07:00,SFO,MEX,16:05,9471
24,07:10,MIA,MEX,11:30,10851
25,07:15,JFK,MEX,13:00,9259
26,07:20,DEN,MEX,17:38,6428
27,07:20,LAS,MEX,14:14,9369
28,07:20,LAX,MEX,09:25,6400
29,07:20,SFO,MEX,14:27,9471
30,07:30,CUN,MEX,10:56,5578
31,07:30,JFK,MEX,18:17,28312
32,07:30,LAX,MEX,22:40,32997
33,08:00,CUN,MEX,11:34,4476
34,08:00,JFK,MEX,18:17,26964
35,08:00,LAS,MEX,12:25,12731
36,08:00,LAX,MEX,16:05,23942
37,08:00,MCO,MEX,20:01,31935
38,08:40,JFK,MEX,21:45,7878
39,09:00,LAS,MEX,11:28,10688
40,09:00,LAX,MEX,16:05,13208
41,09:00,ORD,MEX,13:25,9361
42,09:00,SFO,MEX,12:11,9361
43,09:05,DEN,MEX,19:14,16619
44,09:05,JFK,MEX,17:35,18762
45,09:05,MCO,MEX,17:28,12595
46,09:05,MIA,MEX,17:03,25584
47,09:05,ORD,MEX,17:06,14066
48,09:05,SFO,MEX,19:30,10492
49,09:15,MCO,MEX,13:30,9626
50,09:20,JFK,MEX,15:20,8442
51,09:25,CUN,MEX,13:04,6042
52,09:25,JFK,MEX,18:17,28312
53,09:25,LAX,MEX,18:12,32887
54,09:25,ORD,MEX,21:47,28729
55,09:35,DEN,MEX,17:38,8062
56,09:35,LAX,MEX,12:03,6400
57,09:35,SFO,MEX,16:32,9471
58,10:00,MCO,MEX,01:05,9736
59,10:00,ORD,MEX,20:38,25707
60,10:05,JFK,MEX,22:34,14066
61,10:35,CUN,MEX,14:05,4824
62,10:35,LAX,MEX,18:12,32887
63,10:35,ORD,MEX,21:47,28402
64,10:40,LAX,MEX,17:58,24371
65,11:00,MCO,MEX,01:05,9736
66,11:05,LAX,MEX,16:05,23370
67,11:05,MCO,MEX,00:07,19417
68,11:05,ORD,MEX,20:09,17639
69,11:30,CUN,MEX,14:55,4476
70,11:30,DEN,MEX,22:05,28566
71,11:30,LAS,MEX,21:21,32486
72,11:30,LAX,MEX,18:12,32887
73,11:30,MCO,MEX,22:58,33916
74,11:30,SFO,MEX,23:50,30077
75,11:50,DEN,MEX,19:14,16619
76,11:50,JFK,MEX,20:10,16312
77,11:50,MCO,MEX,20:01,10961
78,11:50,MIA,MEX,00:35,25584
79,11:50,ORD,MEX,20:09,9471
80,11:50,SFO,MEX,22:37,9471
81,12:05,MIA,MEX,16:20,5542
82,12:25,CUN,MEX,15:50,3838
83,12:25,JFK,MEX,23:55,26666
84,12:25,MCO,MEX,00:07,33487
85,12:30,LAS,MEX,14:35,9259
86,12:30,LAX,MEX,18:18,13208
87,12:35,LAX,MEX,17:58,23942
88,12:40,DEN,MEX,22:05,29566
89,12:40,LAS,MEX,21:21,31506
90,12:40,LAX,MEX,21:20,23480
91,12:40,SFO,MEX,23:50,25359
92,13:00,CUN,MEX,20:55,11849
93,13:15,JFK,MEX,22:32,33671
94,13:15,LAX,MEX,22:40,19845
95,13:15,ORD,MEX,20:38,17639
96,13:20,DEN,MEX,22:10,16619
97,13:20,JFK,MEX,21:51,16312
98,13:20,MCO,MEX,20:59,10961
99,13:20,MIA,MEX,00:35,10961
100,13:20,ORD,MEX,21:13,9471
101,13:20,SFO,MEX,22:37,9471
102,13:30,CUN,MEX,17:00,3606
103,13:30,MAD,MEX,13:45,63988
104,13:50,MCO,MEX,18:05,5114
105,13:55,LAX,MEX,16:15,6400
106,14:00,CUN,MEX,20:55,8193
107,14:20,ORD,MEX,21:47,9471
108,14:40,CUN,MEX,18:05,3374
109,14:40,MAD,MEX,13:45,63988
110,15:00,CUN,MEX,20:55,8193
111,15:00,JFK,MEX,20:54,11322
112,15:25,YUL,MEX,21:45,4391
113,15:30,CUN,MEX,19:00,3838
114,15:30,MAD,MEX,13:45,63988
115,15:40,DEN,MEX,22:05,16619
116,15:40,JFK,MEX,05:35,16312
117,15:40,LAS,MEX,21:21,10798
118,15:40,LAX,MEX,21:20,13208
119,15:40,SFO,MEX,23:50,9471
120,16:00,MCO,MEX,00:07,9736
121,16:00,MIA,MEX,00:35,25584
122,16:00,ORD,MEX,23:44,9361
123,16:30,ORD,MEX,23:59,9361
124,16:45,LAX,MEX,19:08,7013
125,17:00,ORD,MEX,23:59,9361
126,17:30,CUN,MEX,20:55,4824
127,17:40,YYZ,MEX,23:30,4887
128,18:10,JFK,MEX,00:10,8442
129,18:25,BCN,MEX,17:05,37215
130,18:30,CUN,MEX,22:00,4476
131,18:30,SFO,MEX,21:45,9361
132,18:45,BCN,MEX,16:25,37167
133,18:45,MAD,MEX,12:30,36970
134,18:45,MUC,MEX,17:35,26073
135,19:00,CUN,MEX,22:25,3838
136,19:00,JFK,MEX,12:10,26964
137,19:00,MCO,MEX,13:19,34324
138,19:00,MIA,MEX,23:20,5235
139,19:00,ORD,MEX,13:16,27523
140,19:30,CUN,MEX,23:00,3374
141,19:30,DEN,MEX,19:06,27360
142,19:30,JFK,MEX,12:10,26964
143,19:30,MCO,MEX,13:19,34324
144,19:30,MIA,MEX,15:59,24175
145,19:30,ORD,MEX,13:16,27523
146,19:30,SFO,MEX,17:36,29505
147,19:40,LAS,MEX,10:15,9369
148,19:40,LAX,MEX,22:00,7013
149,20:00,CUN,MEX,14:20,11849
150,20:00,JFK,MEX,14:30,13956
151,20:00,LAS,MEX,14:13,9369
152,20:00,LAX,MEX,10:15,6400
153,20:00,SFO,MEX,10:50,9361
154,21:00,CUN,MEX,14:20,8193
155,21:00,DEN,MEX,15:14,4590
156,21:00,JFK,MEX,14:30,13956
157,21:00,LAS,MEX,14:13,5693
158,21:00,LAX,MEX,10:15,6400
159,21:00,ORD,MEX,16:16,9471
160,21:00,SFO,MEX,10:50,9361
161,21:35,CUN,MEX,00:55,3606
162,21:35,DEN,MEX,15:14,27360
163,21:35,JFK,MEX,12:10,24685
164,21:35,MCO,MEX,13:19,31935
165,21:35,MIA,MEX,15:59,22193
166,21:35,ORD,MEX,13:16,27523
167,21:35,SFO,MEX,17:36,29505
168,21:55,MUC,MEX,19:15,26092
169,22:00,CUN,MEX,14:20,9877
170,22:00,DEN,MEX,15:14,4590
171,22:00,JFK,MEX,14:30,13956
172,22:00,LAS,MEX,14:13,4366
173,22:00,LAX,MEX,10:15,6400
174,22:00,MIA,MEX,15:59,25584
175,22:00,ORD,MEX,15:00,9471
176,22:00,SFO,MEX,10:50,9361
177,23:30,MUC,MEX,19:15,26092
178,23:55,BCN,MEX,22:55,37215
179,23:55,YYZ,MEX,05:55,4887
