,Hora_Salida,Destino,Origen,Hora_Llegada,Desde
0,04:50,BCN, MEX,12:50,21084
1,04:50,DEN, MEX,16:49,19231
2,04:50,HAV, MEX,12:00,15680
3,04:50,JFK, MEX,01:30,7508
4,04:50,LAS, MEX,15:50,20132
5,04:50,LAX, MEX,11:10,11138
6,04:50,MIA, MEX,11:40,10524
7,04:50,MUC, MEX,16:32,10420
8,04:50,SFO, MEX,00:15,7850
9,04:50,YUL, MEX,17:15,20784
10,04:50,YYZ, MEX,13:50,11996
11,05:00,BCN, MEX,09:15,20265
12,05:00,JFK, MEX,01:30,25392
13,05:00,MAD, MEX,05:00,19754
14,05:00,MIA, MEX,00:30,16173
15,05:00,MUC, MEX,11:25,18238
16,08:20,BCN, MEX,12:50,29209
17,08:20,MAD, MEX,10:50,28902
18,08:20,MUC, MEX,17:25,29497
19,08:35,BCN, MEX,12:50,21554
20,08:35,LAS, MEX,21:57,26192
21,08:35,MAD, MEX,12:25,20839
22,08:35,SFO, MEX,00:15,15355
23,10:05,BCN, MEX,12:50,21084
24,10:05,DEN, MEX,10:01,19231
25,10:05,LAS, MEX,21:57,20132
26,10:05,LAX, MEX,18:25,11138
27,10:05,MAD, MEX,12:25,20572
28,10:05,SFO, MEX,00:15,10790
29,13:40,MUC, MEX,16:32,32074
30,13:50,BCN, MEX,12:50,20265
31,13:50,JFK, MEX,02:50,25690
32,13:50,MAD, MEX,12:25,19754
33,13:50,MIA, MEX,00:30,12837
34,13:50,MUC, MEX,16:32,12282
35,13:50,YJB, MEX,18:40,20265
36,13:50,YYZ, MEX,13:50,36496
37,16:45,LAX, MEX,11:10,23286
38,16:45,YYZ, MEX,13:50,21442
39,16:50,DEN, MEX,10:12,24254
40,16:50,JFK, MEX,01:30,8191
41,16:50,LAX, MEX,11:10,14748
42,16:50,MCO, MEX,12:20,24872
43,16:50,MIA, MEX,11:40,18535
44,16:50,MUC, MEX,16:32,18573
45,16:50,SFO, MEX,00:15,12837
46,16:50,YUL, MEX,16:45,26993
47,16:50,YYZ, MEX,13:50,17427
48,18:30,HAV, MEX,11:45,15925
49,18:30,MCO, MEX,12:20,19406
50,18:30,ORD, MEX,18:42,21749
51,21:40,CUN, MEX,11:25,17893
52,21:40,LAX, MEX,11:10,20645
53,21:40,YYZ, MEX,13:50,26067
54,23:20,HAV, MEX,15:45,14697
55,23:20,JFK, MEX,11:50,29354
56,23:20,MAD, MEX,05:00,19754
57,23:20,MCO, MEX,12:20,23235
58,23:20,MIA, MEX,10:30,21159
59,23:20,ORD, MEX,18:42,33600
60,23:55,HAV, MEX,15:45,15496
