,Hora_Salida,Destino,Origen,Hora_Llegada,Desde,Lat,Lon
0,01:15,YUL,MEX,07:25,4396,45.46561,-73.745299
1,06:01,DEN,MEX,15:12,6440,39.856121,-104.673641
2,06:01,JFK,MEX,14:30,16235,40.641234999999995,-73.778263
3,06:01,LAS,MEX,14:14,10821,36.084026,-115.15388899999999
4,06:01,LAX,MEX,10:15,6412,33.941562,-118.40841200000001
5,06:01,MCO,MEX,15:26,19458,28.431205,-81.308008
6,06:01,MIA,MEX,16:01,28710,25.795814,-80.28716899999999
7,06:01,ORD,MEX,15:45,9490,41.974166,-87.9073
8,06:01,SFO,MEX,10:50,9379,37.621313,-122.37898799999999
9,06:30,CUN,MEX,10:05,7990,21.040357999999998,-86.873455
10,06:30,DEN,MEX,15:12,6440,39.856121,-104.673641
11,06:30,JFK,MEX,14:30,16235,40.641234999999995,-73.778263
12,06:30,LAS,MEX,12:25,9277,36.084026,-115.15388899999999
13,06:30,LAX,MEX,11:10,6412,33.941562,-118.40841200000001
14,06:30,ORD,MEX,16:18,17678,41.974166,-87.9073
15,06:30,SFO,MEX,16:05,9490,37.621313,-122.37898799999999
16,07:00,DEN,MEX,14:27,6440,39.856121,-104.673641
17,07:00,JFK,MEX,14:30,16346,40.641234999999995,-73.778263
18,07:00,LAS,MEX,12:25,10710,36.084026,-115.15388899999999
19,07:00,LAX,MEX,11:10,6412,33.941562,-118.40841200000001
20,07:00,MCO,MEX,15:26,12622,28.431205,-81.308008
21,07:00,MIA,MEX,16:01,10984,25.795814,-80.28716899999999
22,07:00,ORD,MEX,14:25,9490,41.974166,-87.9073
23,07:00,SFO,MEX,16:05,9490,37.621313,-122.37898799999999
24,07:10,MIA,MEX,11:30,10873,25.795814,-80.28716899999999
25,07:15,JFK,MEX,13:00,9277,40.641234999999995,-73.778263
26,07:20,DEN,MEX,17:38,7341,39.856121,-104.673641
27,07:20,LAS,MEX,14:14,9388,36.084026,-115.15388899999999
28,07:20,LAX,MEX,09:25,6412,33.941562,-118.40841200000001
29,07:20,SFO,MEX,14:27,9490,37.621313,-122.37898799999999
30,07:30,CUN,MEX,10:56,5577,21.040357999999998,-86.873455
31,07:30,JFK,MEX,18:17,28415,40.641234999999995,-73.778263
32,07:30,LAX,MEX,22:40,33131,33.941562,-118.40841200000001
33,08:00,CUN,MEX,11:34,4823,21.040357999999998,-86.873455
34,08:00,JFK,MEX,18:17,28415,40.641234999999995,-73.778263
35,08:00,LAS,MEX,12:25,12757,36.084026,-115.15388899999999
36,08:00,LAX,MEX,16:05,24485,33.941562,-118.40841200000001
37,08:00,MCO,MEX,20:01,34461,28.431205,-81.308008
38,08:40,JFK,MEX,21:45,8569,40.641234999999995,-73.778263
39,09:00,LAS,MEX,11:28,9277,36.084026,-115.15388899999999
40,09:00,LAX,MEX,16:05,13236,33.941562,-118.40841200000001
41,09:00,ORD,MEX,13:25,9379,41.974166,-87.9073
42,09:00,SFO,MEX,12:11,9379,37.621313,-122.37898799999999
43,09:05,DEN,MEX,19:14,16654,39.856121,-104.673641
44,09:05,JFK,MEX,17:35,18803,40.641234999999995,-73.778263
45,09:05,MCO,MEX,17:28,19458,28.431205,-81.308008
46,09:05,MIA,MEX,17:03,25640,25.795814,-80.28716899999999
47,09:05,ORD,MEX,17:06,14096,41.974166,-87.9073
48,09:05,SFO,MEX,19:30,10513,37.621313,-122.37898799999999
49,09:15,MCO,MEX,13:30,9645,28.431205,-81.308008
50,09:20,JFK,MEX,15:20,8458,40.641234999999995,-73.778263
51,09:25,CUN,MEX,13:04,6041,21.040357999999998,-86.873455
52,09:25,JFK,MEX,18:17,28415,40.641234999999995,-73.778263
53,09:25,LAX,MEX,18:12,33020,33.941562,-118.40841200000001
54,09:25,ORD,MEX,21:47,29222,41.974166,-87.9073
55,09:35,DEN,MEX,17:38,8077,39.856121,-104.673641
56,09:35,LAX,MEX,12:03,6412,33.941562,-118.40841200000001
57,09:35,SFO,MEX,16:32,9490,37.621313,-122.37898799999999
58,10:00,MCO,MEX,01:05,9756,28.431205,-81.308008
59,10:00,ORD,MEX,20:38,25763,41.974166,-87.9073
60,10:05,JFK,MEX,22:34,14096,40.641234999999995,-73.778263
61,10:20,HAV,MEX,14:05,5931,22.991455,-82.410321
62,10:35,CUN,MEX,14:05,4823,21.040357999999998,-86.873455
63,10:35,LAX,MEX,18:12,33020,33.941562,-118.40841200000001
64,10:35,ORD,MEX,21:47,28852,41.974166,-87.9073
65,10:40,LAX,MEX,17:58,24485,33.941562,-118.40841200000001
66,11:00,MCO,MEX,01:05,9756,28.431205,-81.308008
67,11:05,LAX,MEX,16:05,23113,33.941562,-118.40841200000001
68,11:05,MCO,MEX,00:07,19458,28.431205,-81.308008
69,11:05,ORD,MEX,20:09,17678,41.974166,-87.9073
70,11:30,CUN,MEX,14:55,4475,21.040357999999998,-86.873455
71,11:30,DEN,MEX,22:05,28689,39.856121,-104.673641
72,11:30,LAS,MEX,21:21,32619,36.084026,-115.15388899999999
73,11:30,LAX,MEX,18:12,33020,33.941562,-118.40841200000001
74,11:30,MCO,MEX,22:58,34461,28.431205,-81.308008
75,11:30,SFO,MEX,23:50,30203,37.621313,-122.37898799999999
76,11:50,DEN,MEX,19:14,8077,39.856121,-104.673641
77,11:50,JFK,MEX,20:10,16346,40.641234999999995,-73.778263
78,11:50,MCO,MEX,20:01,12622,28.431205,-81.308008
79,11:50,MIA,MEX,00:35,25640,25.795814,-80.28716899999999
80,11:50,ORD,MEX,20:09,9490,41.974166,-87.9073
81,11:50,SFO,MEX,22:37,9490,37.621313,-122.37898799999999
82,12:05,MIA,MEX,16:20,5552,25.795814,-80.28716899999999
83,12:25,CUN,MEX,15:50,4127,21.040357999999998,-86.873455
84,12:25,JFK,MEX,23:55,27195,40.641234999999995,-73.778263
85,12:25,MCO,MEX,00:07,34461,28.431205,-81.308008
86,12:30,LAS,MEX,14:35,9277,36.084026,-115.15388899999999
87,12:30,LAX,MEX,18:18,8058,33.941562,-118.40841200000001
