,Hora_Salida,Destino,Origen,Hora_Llegada,Desde
0,05:40,BCN,MEX,10:10,3094
1,05:40,DEN,MEX,11:21,234
2,05:40,EWR,MEX,14:50,402
3,05:40,LAS,MEX,11:19,249
4,05:40,LAX,MEX,11:30,332
5,05:40,LGA,MEX,16:47,402
6,05:40,MAD,MEX,12:45,3254
7,05:40,MCO,MEX,12:50,142
8,05:40,MIA,MEX,12:59,345
9,05:40,MUC,MEX,07:40,3099
10,05:40,ORD,MEX,12:40,483
11,05:40,SFO,MEX,12:05,483
12,05:40,YUL,MEX,17:10,245
13,05:40,YYZ,MEX,16:22,284
14,06:05,BCN,MEX,14:40,3682
15,06:05,DEN,MEX,14:28,343
16,06:05,EWR,MEX,19:40,1265
17,06:05,LAS,MEX,14:42,446
18,06:05,LAX,MEX,12:24,332
19,06:05,MAD,MEX,14:35,3838
20,06:05,SFO,MEX,09:05,477
21,06:05,YYZ,MEX,19:45,1420
22,06:35,MUC,MEX,09:45,3099
23,07:50,BCN,MEX,12:15,3111
24,07:50,DEN,MEX,13:26,255
25,07:50,EWR,MEX,19:10,402
26,07:50,LAS,MEX,13:16,249
27,07:50,LAX,MEX,13:40,332
28,07:50,LGA,MEX,16:47,402
29,07:50,MAD,MEX,12:45,3254
30,07:50,MCO,MEX,15:18,168
31,07:50,MIA,MEX,22:06,345
32,07:50,MUC,MEX,09:45,3099
33,07:50,ORD,MEX,14:46,483
34,07:50,SFO,MEX,14:30,483
35,08:10,DEN,MEX,16:08,1196
36,08:10,EWR,MEX,17:45,1200
37,08:10,LAS,MEX,17:41,1228
38,08:10,LAX,MEX,20:25,1234
39,08:10,LGA,MEX,19:14,402
40,08:10,MCO,MEX,21:53,340
41,08:10,MIA,MEX,23:59,1224
42,08:10,ORD,MEX,12:20,477
43,08:10,SFO,MEX,18:28,1405
44,08:10,YUL,MEX,18:02,569
45,08:10,YYZ,MEX,20:37,336
46,09:05,DEN,MEX,19:26,1783
47,09:05,EWR,MEX,14:50,396
48,09:05,MCO,MEX,22:28,1681
49,09:05,MIA,MEX,22:06,1662
50,09:05,MUC,MEX,07:20,3099
51,09:05,ORD,MEX,18:42,1666
52,09:05,SFO,MEX,20:26,1712
53,09:05,YUL,MEX,20:42,569
54,09:05,YYZ,MEX,21:50,396
55,09:40,DEN,MEX,17:57,1151
56,09:40,EWR,MEX,20:53,1106
57,09:40,LGA,MEX,18:49,402
58,09:40,MCO,MEX,19:51,266
59,09:40,MIA,MEX,23:59,1139
60,09:40,MUC,MEX,07:40,3099
61,09:40,ORD,MEX,18:26,1106
62,09:40,SFO,MEX,19:55,1262
63,09:40,YUL,MEX,23:59,434
64,10:05,DEN,MEX,17:57,343
65,10:05,LAS,MEX,15:50,373
66,10:05,LAX,MEX,17:06,332
67,10:05,LGA,MEX,19:12,610
68,10:05,MCO,MEX,17:50,237
69,10:05,MIA,MEX,23:29,460
70,10:05,ORD,MEX,18:22,483
71,10:05,SFO,MEX,19:04,483
72,10:05,YYZ,MEX,22:29,336
73,11:00,DEN,MEX,21:01,1783
74,11:00,MCO,MEX,22:28,1681
75,11:00,MIA,MEX,23:59,1662
76,11:00,MUC,MEX,10:25,3099
77,11:00,ORD,MEX,22:04,1647
78,11:00,SFO,MEX,22:35,1712
79,11:00,YYZ,MEX,21:50,336
80,12:05,DEN,MEX,17:57,743
81,12:05,LAS,MEX,23:17,373
82,12:05,LAX,MEX,19:45,332
83,12:05,MCO,MEX,19:34,237
84,12:05,ORD,MEX,19:46,483
85,12:05,SFO,MEX,20:43,483
86,13:50,LAS,MEX,00:21,373
87,13:50,ORD,MEX,01:35,1231
88,13:55,EWR,MEX,19:40,396
89,13:55,MUC,MEX,07:20,3099
90,14:40,MUC,MEX,09:35,3099
91,14:40,SFO,MEX,23:51,1231
92,14:40,YUL,MEX,09:16,434
93,14:40,YYZ,MEX,23:49,336
94,15:05,LAS,MEX,21:02,758
95,15:05,MCO,MEX,22:57,647
96,15:05,MIA,MEX,23:29,1202
97,15:05,ORD,MEX,22:37,691
98,15:05,SFO,MEX,23:50,795
99,17:35,LAS,MEX,23:17,550
100,17:35,MUC,MEX,09:45,3099
101,17:35,ORD,MEX,23:59,483
102,17:35,YUL,MEX,13:00,374
103,17:35,YYZ,MEX,11:54,546
