,Origen,Destino,Hora Salida,Hora Llegada,Desde
0,MEX,JFK,07:15,13:00,$9259
1,MEX,JFK,09:20,15:20,$7768
2,MEX,JFK,15:00,20:54,"$11,322"
3,MEX,JFK,18:10,00:10,$8442
4,MEX,JFK,07:00,14:30,"$16,202"
5,MEX,JFK,06:30,14:30,"$16,202"
6,MEX,JFK,11:50,20:10,"$29,443"
7,MEX,JFK,06:01,14:30,"$16,202"
8,MEX,JFK,09:05,17:35,"$18,762"
9,MEX,JFK,13:20,21:51,"$29,443"
10,MEX,JFK,09:25,18:17,"$28,312"
11,MEX,JFK,07:00,16:15,"$18,762"
12,MEX,JFK,13:15,22:32,"$33,671"
13,MEX,JFK,11:50,21:51,"$29,443"
14,MEX,JFK,06:01,16:15,"$27,544"
15,MEX,JFK,08:00,18:17,"$26,964"
16,MEX,JFK,13:20,23:55,"$16,312"
17,MEX,JFK,07:00,17:35,"$29,443"
18,MEX,JFK,07:30,18:17,"$26,964"
19,MEX,JFK,06:30,17:28,"$29,443"
20,MEX,JFK,09:05,20:10,"$27,544"
21,MEX,JFK,06:01,17:28,"$18,762"
22,MEX,JFK,12:25,23:55,"$26,237"
23,MEX,JFK,11:50,23:55,"$16,312"
24,MEX,JFK,10:05,22:34,"$14,066"
25,MEX,JFK,09:05,21:51,"$27,544"
26,MEX,JFK,08:40,21:45,$7878
27,MEX,JFK,07:00,20:10,"$29,443"
28,MEX,JFK,15:40,05:35,"$16,312"
29,MEX,JFK,21:35,12:10,"$26,964"
30,MEX,JFK,22:00,14:30,"$13,956"
31,MEX,JFK,22:00,14:30,"$16,202"
32,MEX,JFK,19:30,12:10,"$26,964"
33,MEX,JFK,19:05,12:10,"$26,964"
34,MEX,JFK,21:00,14:30,"$13,956"
35,MEX,JFK,21:00,14:30,"$16,202"
36,MEX,JFK,22:00,16:10,"$14,066"
37,MEX,JFK,20:00,14:30,"$13,956"
38,MEX,JFK,20:00,14:30,"$16,202"
39,MEX,JFK,21:35,16:10,"$24,685"
40,MEX,JFK,21:00,16:10,"$14,066"
41,MEX,JFK,21:35,17:28,"$27,074"
42,MEX,JFK,19:30,17:28,"$27,074"
43,MEX,LAX,07:20,09:25,$6400
44,MEX,LAX,09:35,12:03,$6400
45,MEX,LAX,13:55,16:15,$6400
46,MEX,LAX,16:45,19:08,$7013
47,MEX,LAX,19:40,22:00,$7013
48,MEX,LAX,07:00,11:10,$6400
49,MEX,LAX,06:01,10:15,"$13,098"
50,MEX,LAX,06:30,11:10,$6400
51,MEX,LAX,11:05,16:05,"$23,003"
52,MEX,LAX,06:01,11:10,$6400
53,MEX,LAX,12:35,17:58,"$23,942"
54,MEX,LAX,15:40,21:20,"$13,208"
55,MEX,LAX,12:30,18:18,"$13,208"
56,MEX,LAX,11:30,18:12,"$32,458"
57,MEX,LAX,09:00,16:05,"$13,208"
58,MEX,LAX,10:40,17:58,"$24,371"
59,MEX,LAX,10:35,18:12,"$32,458"
60,MEX,LAX,08:00,16:05,"$30,261"
61,MEX,LAX,12:40,21:20,"$23,113"
62,MEX,LAX,09:25,18:12,"$32,458"
63,MEX,LAX,07:00,15:57,$8041
64,MEX,LAX,07:00,16:05,"$29,831"
65,MEX,LAX,09:00,18:18,"$13,208"
66,MEX,LAX,13:15,22:40,"$19,845"
67,MEX,LAX,06:30,15:57,$8041
68,MEX,LAX,06:01,15:57,$8041
69,MEX,LAX,08:00,17:58,"$23,942"
70,MEX,LAX,11:05,21:20,"$23,113"
71,MEX,LAX,08:00,18:18,"$30,261"
72,MEX,LAX,22:00,10:15,$6400
73,MEX,LAX,22:00,11:10,$6400
74,MEX,LAX,21:00,10:15,$6400
75,MEX,LAX,21:00,11:10,$6400
76,MEX,LAX,20:00,10:15,$6400
77,MEX,LAX,08:00,22:40,"$32,568"
78,MEX,LAX,07:30,22:40,"$32,568"
79,MEX,LAX,19:00,11:10,"$21,920"
80,MEX,LAX,22:00,15:57,$6510
81,MEX,LAX,21:00,15:57,$6510
82,MEX,MIA,07:10,11:30,"$10,851"
83,MEX,MIA,12:05,16:20,$5542
84,MEX,MIA,19:00,23:20,$5235
85,MEX,MIA,13:20,21:11,"$27,953"
86,MEX,MIA,09:05,17:03,"$25,584"
87,MEX,MIA,16:00,00:35,"$25,584"
88,MEX,MIA,07:00,16:01,"$25,584"
89,MEX,MIA,11:50,21:11,"$25,584"
90,MEX,MIA,13:20,23:02,"$27,953"
91,MEX,MIA,06:01,16:01,"$28,647"
92,MEX,MIA,07:00,17:03,"$25,584"
93,MEX,MIA,06:01,17:03,"$25,584"
94,MEX,MIA,11:50,23:02,"$25,584"
95,MEX,MIA,13:20,00:35,"$27,953"
96,MEX,MIA,09:05,21:11,"$25,584"
97,MEX,MIA,11:50,00:35,"$25,584"
98,MEX,MIA,09:05,23:02,"$25,584"
99,MEX,MIA,22:00,15:59,"$25,584"
