,Hora_Salida,Destino,Origen,Hora_Llegada,Desde
0,04:50,BCN, MEX,12:50,"21,279.00"
1,04:50,DEN, MEX,19:45,"23,868.00"
2,04:50,JFK, MEX,21:00,"7,634.00"
3,04:50,LAS, MEX,21:57,"20,090.00"
4,04:50,LAX, MEX,22:45,"16,253.00"
5,04:50,MIA, MEX,13:50,"16,550.00"
6,04:50,MUC, MEX,16:32,"12,456.00"
7,04:50,SFO, MEX,19:05,"8,319.00"
8,04:50,YUL, MEX,18:19,"20,741.00"
9,04:50,YYZ, MEX,13:50,"11,973.00"
10,05:00,BCN, MEX,12:50,"49,711.00"
11,05:00,JFK, MEX,21:00,"32,069.00"
12,05:00,MAD, MEX,12:25,"19,713.00"
13,05:00,MIA, MEX,16:31,"25,391.00"
14,05:00,MUC, MEX,16:32,"18,461.00"
15,08:20,BCN, MEX,17:00,"29,432.00"
16,08:20,MAD, MEX,12:25,"28,870.00"
17,08:20,MUC, MEX,17:25,"43,281.00"
18,08:35,BCN, MEX,12:50,"21,551.00"
19,08:35,LAS, MEX,21:57,"26,136.00"
20,08:35,MAD, MEX,12:25,"20,837.00"
21,08:35,SFO, MEX,19:05,"15,325.00"
22,10:05,BCN, MEX,12:50,"21,082.00"
23,10:05,DEN, MEX,10:12,"23,868.00"
24,10:05,LAS, MEX,21:57,"20,090.00"
25,10:05,LAX, MEX,22:45,"18,214.00"
26,10:05,MAD, MEX,12:25,"20,571.00"
27,10:05,SFO, MEX,19:05,"10,770.00"
28,13:40,MUC, MEX,16:32,"35,662.00"
29,13:50,BCN, MEX,17:00,"20,508.00"
30,13:50,JFK, MEX,11:50,"27,679.00"
31,13:50,MAD, MEX,21:25,"19,982.00"
32,13:50,MIA, MEX,10:30,"16,549.00"
33,13:50,MUC, MEX,22:40,"43,294.00"
34,13:50,YJB, MEX,19:15,"20,224.00"
35,13:50,YYZ, MEX,13:50,"36,418.00"
36,16:45,LAX, MEX,11:10,"20,379.00"
37,16:45,YYZ, MEX,13:50,"21,398.00"
38,16:50,DEN, MEX,17:46,"35,979.00"
39,16:50,JFK, MEX,01:30,"8,176.00"
40,16:50,LAX, MEX,11:10,"14,719.00"
41,16:50,MCO, MEX,12:20,"24,819.00"
42,16:50,MIA, MEX,13:50,"19,115.00"
43,16:50,MUC, MEX,16:32,"18,537.00"
44,16:50,SFO, MEX,00:15,"12,812.00"
45,16:50,YUL, MEX,17:19,"26,937.00"
46,16:50,YYZ, MEX,13:50,"17,393.00"
47,18:30,MCO, MEX,12:20,"19,367.00"
48,18:30,ORD, MEX,18:42,"22,805.00"
49,21:40,CUN, MEX,11:25,"17,859.00"
50,21:40,LAX, MEX,18:25,"27,852.00"
51,21:40,YYZ, MEX,13:50,"26,013.00"
52,23:20,JFK, MEX,21:00,"36,725.00"
53,23:20,MAD, MEX,05:00,"19,713.00"
54,23:20,MCO, MEX,17:51,"24,840.00"
55,23:20,MIA, MEX,16:31,"31,109.00"
56,23:20,ORD, MEX,18:42,"33,526.00"
